date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-07-26,Đắk Nông,91630,17260,6352,60795,71254,72596,78083,9393,35408,71936,940,91769,1523,6599,9359,8687,560,52
2025-07-27,Huế,384923,95264,34152,6387,6780,44769,76334,79699,9023,52828,51307,3212,4274,6604,5578,4351,47,13
2025-07-27,Kon Tum,315858,37360,56160,10521,2639,8730,6616,37053,88419,11271,95464,73240,7480,3896,1155,2616,182,3
2025-07-27,Khánh Hòa,817417,80526,13801,21561,90425,46945,78986,27678,54547,62814,84873,7394,7832,3657,6913,7243,41,54
2025-07-28,Huế,996682,16676,44999,48248,84111,3114,26106,86915,68717,9883,17862,70654,1980,1683,1136,9097,437,54
2025-07-28,Phú Yên,533630,65491,62871,33919,53526,35285,23082,82764,39705,21566,20433,52277,8276,1783,8432,3493,38,92
2025-07-29,Đắk Lắk,522115,62054,3043,46103,41930,93635,47628,99378,71587,33321,23362,72440,3759,748,4343,387,96,73
2025-07-29,Quảng Nam,666538,59949,80130,55957,25911,75841,47724,31792,70129,69843,2796,90567,6916,1698,5289,6124,989,97
2025-07-30,Đà Nẵng,723285,80488,81092,83580,40547,54772,53323,1193,3302,71702,17954,70448,9033,4498,3805,2232,352,54
2025-07-30,Khánh Hòa,461776,57087,34467,59601,10506,91945,7642,62508,4415,51324,42921,12282,5056,6022,3568,8191,166,85
2025-07-31,Bình Định,835867,81853,80578,14428,84614,89076,40670,58838,99090,34194,63917,75457,3945,5768,8454,6742,197,88
2025-07-31,Quảng Trị,618532,65725,50319,28095,45269,91264,38210,47458,89125,27467,65458,13964,8872,8182,4694,4762,813,98
2025-07-31,Quảng Bình,884064,68257,6210,59940,58673,24129,9079,52344,4442,65604,65812,36992,4381,8628,3577,718,603,81
2025-08-01,Gia Lai,594246,74749,82569,8662,97482,32586,16972,84396,63236,52634,2171,25899,496,5945,6841,9783,935,47
2025-08-01,Ninh Thuận,820112,36478,22210,38611,93185,55785,74468,72476,67462,35819,76470,25770,5563,5044,9099,2901,498,27
2025-08-02,Đà Nẵng,441280,84706,64126,22005,80957,46454,2747,23860,58344,45079,72855,25017,3013,2340,6613,5622,274,49
2025-08-02,Quảng Ngãi,335240,29683,65993,5819,47553,93325,28917,52601,15700,10273,46975,91951,1455,1838,7218,6958,604,9
2025-08-02,Đắk Nông,872732,20310,78513,59811,70078,99379,88530,63909,12814,19081,56795,43797,5879,2221,8941,3517,339,82
2025-08-03,Huế,337361,1970,27740,71505,73752,9467,36808,46502,54698,48109,86230,8779,7301,7149,1457,3484,295,30
2025-08-03,Kon Tum,329105,98436,22771,37345,64925,97848,93828,44764,3682,55389,48415,5368,8353,3796,7674,8228,338,0
2025-08-03,Khánh Hòa,421772,40923,60790,56177,96331,15566,93776,70161,28506,65624,8524,98317,1095,2276,1279,3983,752,56
2025-08-04,Huế,805287,67524,74892,62267,21924,50602,19259,8700,90860,26861,18123,59110,5787,854,1943,9284,148,37
2025-08-04,Phú Yên,184298,26268,28927,6394,34978,34491,26488,95351,86762,52691,90961,67566,719,6894,5500,8820,659,44
2025-08-05,Đắk Lắk,63303,3105,5756,65346,15257,23808,21342,44624,22110,65993,26545,88064,2033,4757,456,291,696,9
2025-08-05,Quảng Nam,58211,61476,71668,97476,24768,88786,16886,6057,6250,54010,43234,5961,4308,7251,5643,9605,600,38
2025-08-06,Đà Nẵng,576684,54234,32024,61951,1369,45514,37372,77382,82080,81629,28649,94673,2075,6194,2876,5789,840,53
2025-08-06,Khánh Hòa,319574,19891,74654,32219,19661,54975,54693,53882,78864,35002,12063,11846,2162,1392,2120,4877,466,19
