date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-08-04,Đồng Tháp,94,1,44,18,38,11,64,0,83,98,97,28,1,33,85,90,61,37
2025-08-04,Cà Mau,47,24,27,30,89,42,2,19,86,4,18,54,3,49,52,9,27,92
2025-08-05,Bến Tre,53,56,51,23,89,59,80,92,90,73,78,26,94,9,89,65,66,99
2025-08-05,Vũng Tàu,63,13,84,60,65,60,35,80,38,14,81,88,54,36,42,3,33,84
2025-08-05,Bạc Liêu,98,1,81,72,78,28,32,19,11,97,94,5,35,37,22,10,97,31
2025-08-06,Đồng Nai,53,29,77,10,53,60,42,67,76,5,88,0,69,39,59,46,4,90
2025-08-06,Cần Thơ,54,18,38,95,83,86,8,82,48,80,88,13,97,25,95,51,13,73
2025-08-06,Sóc Trăng,67,87,72,51,10,73,10,12,48,35,77,45,41,8,25,52,1,64
2025-08-07,Tây Ninh,51,53,8,39,23,82,36,40,98,62,24,63,57,28,33,34,27,32
2025-08-07,An Giang,67,24,77,50,14,69,75,73,1,52,87,61,35,41,99,48,30,18
2025-08-07,Bình Thuận,32,87,68,67,33,44,37,4,12,69,45,52,86,91,78,84,52,30
2025-08-08,Vĩnh Long,23,98,40,62,20,60,6,17,49,39,42,69,57,8,70,80,44,13
2025-08-08,Bình Dương,82,48,18,12,87,35,55,32,99,1,36,89,18,22,75,79,50,38
2025-08-08,Trà Vinh,42,75,22,78,48,70,13,90,30,73,98,43,79,72,53,33,24,55
2025-08-09,TPHCM,49,29,50,78,77,58,23,77,90,71,38,41,35,82,6,54,68,49
2025-08-09,Long An,77,10,66,41,20,76,7,32,54,12,62,22,61,84,97,79,93,37
2025-08-09,Bình Phước,69,83,43,87,52,11,36,98,60,69,38,11,25,52,80,34,35,26
2025-08-09,Hậu Giang,16,57,22,57,69,75,87,42,17,59,47,13,26,2,25,89,70,55
2025-08-10,Tiền Giang,33,79,62,42,5,60,56,71,26,15,27,4,11,39,14,14,29,10
2025-08-10,Kiên Giang,50,17,16,57,62,37,73,55,36,23,51,74,13,24,84,94,37,63
2025-08-10,Đà Lạt,37,92,73,48,98,30,38,41,6,45,41,87,46,72,12,61,56,65
2025-08-11,TPHCM,99,18,18,10,42,26,84,39,2,72,36,52,51,7,57,61,28,94
2025-08-11,Đồng Tháp,82,26,43,35,0,74,17,29,3,62,22,75,79,92,26,99,62,53
2025-08-11,Cà Mau,38,72,35,5,4,14,9,87,95,27,8,37,33,36,85,62,59,57
2025-08-12,Bến Tre,61,24,32,4,55,2,61,90,65,4,6,54,69,13,62,52,60,88
2025-08-12,Vũng Tàu,77,10,6,30,80,29,6,49,90,77,92,16,23,87,83,48,26,63
2025-08-12,Bạc Liêu,79,29,72,93,32,64,94,82,14,30,42,59,44,0,16,23,79,81
2025-08-13,Đồng Nai,49,26,90,79,89,51,64,67,38,28,16,61,49,38,62,88,69,22
2025-08-13,Cần Thơ,44,89,87,87,60,8,53,81,63,84,25,17,86,63,46,99,26,56
2025-08-13,Sóc Trăng,86,71,23,0,72,40,52,60,20,31,32,92,93,86,91,26,84,87
2025-08-14,Tây Ninh,61,14,95,28,75,73,32,34,51,24,44,72,71,36,53,43,17,62
2025-08-14,An Giang,7,47,13,89,17,92,9,23,82,26,75,21,72,22,52,11,21,46
2025-08-14,Bình Thuận,72,70,15,4,99,87,40,35,27,65,27,94,60,14,2,48,29,62
2025-08-15,Vĩnh Long,6,46,26,38,97,94,92,3,28,67,14,54,19,60,82,49,51,34
2025-08-15,Bình Dương,83,21,37,96,65,94,23,80,2,36,47,23,35,87,18,12,41,26
2025-08-15,Trà Vinh,42,44,21,20,37,74,79,53,66,2,30,82,77,31,86,53,59,61
